Order ID,Order Date,Shop,Pick Up Emirate,Drop Off Emirate,Drop Off Area,Delivery Company,Status,COD,Delivery Cost,Charge to Customer,Category,Delivery Route,Month - Formula,Month
3091,3/9/2020,Shop004,Abu Dhabi,Ajman,Al Roudaha 2,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Abu Dhabi to Ajman,September,September 
3088,3/9/2020,Shop005,Sharjah,Abu Dhabi,Khalifa City ,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Sharjah to Abu Dhabi,September,September 
3075,3/9/2020,Shop016,Dubai,Dubai,Wasl Square,DeliveryCompany04,Delivered,,AED 35.00,AED 30.00,,Dubai to Dubai,September,September 
3078,3/9/2020,Shop014,Dubai,Abu Dhabi,Khalifa City ,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Dubai to Abu Dhabi,September,September 
3100,3/9/2020,Shop005,Sharjah,Abu Dhabi,New Al Falah,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Sharjah to Abu Dhabi,September,September 
3109,4/9/2020,Shop014,Dubai,Al Ain,,DeliveryCompany01,Delivered,AED 358.00,AED 32.00,AED 50.00,,Dubai to Al Ain,September,September 
3111,4/9/2020,Shop033,Dubai,Al Ain,Al Towaiyyah,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Dubai to Al Ain,September,September 
3108,4/9/2020,Shop005,Sharjah,Al Ain,Al Ghadeer,DeliveryCompany01,Delivered,,AED 32.00,AED 45.00,,Sharjah to Al Ain,September,September 
3117,4/9/2020,Shop034,Dubai,Dubai,,DeliveryCompany04,Delivered,,AED 35.00,AED 45.00,,Dubai to Dubai,September,September 
3112,4/9/2020,Shop035,Sharjah,Ras Al Khaimah,Rak,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Sharjah to Ras Al Khaimah,September,September 
3101,4/9/2020,Shop036,Dubai,Dubai,Um Suqeim,DeliveryCompany01,Delivered,AED 165.00,AED 32.00,AED 45.00,,Dubai to Dubai,September,September 
3116,4/9/2020,Shop029,Dubai,Abu Dhabi,Al Shamkha,DeliveryCompany01,Delivered,AED 100.00,AED 32.00,AED 50.00,,Dubai to Abu Dhabi,September,September 
3102,4/9/2020,Shop015,Dubai,Ras Al Khaimah,The Ritz-Carlton ,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Dubai to Ras Al Khaimah,September,September 
3106,4/9/2020,Shop005,Sharjah,Al Ain,Swahin,DeliveryCompany01,Delivered,,AED 32.00,AED 45.00,,Sharjah to Al Ain,September,September 
3119,4/9/2020,Shop027,Abu Dhabi,Ajman,Al jurf,DeliveryCompany02,Delivered,AED 50.00,AED 30.00,AED 50.00,,Abu Dhabi to Ajman,September,September 
3107,4/9/2020,Shop005,Sharjah,Dubai,Al Wasl,DeliveryCompany01,Delivered,,AED 32.00,AED 45.00,,Sharjah to Dubai,September,September 
3105,4/9/2020,Shop005,Sharjah,Abu Dhabi,AlRahba,DeliveryCompany01,Delivered,,AED 32.00,AED 45.00,,Sharjah to Abu Dhabi,September,September 
3103,4/9/2020,Shop037,Dubai,Abu Dhabi,Golf Gardens,DeliveryCompany01,Cancelled/Returned,,AED 0.00,AED 0.00,,Dubai to Abu Dhabi,September,September 
3114,4/9/2020,Shop038,Abu Dhabi,Al Ain,Altowayyah,DeliveryCompany02,Delivered,AED 50.00,AED 30.00,AED 50.00,,Abu Dhabi to Al Ain,September,September 
3110,4/9/2020,Shop003,Abu Dhabi,Sharjah,Al Soyuh,DeliveryCompany01,Delivered,,AED 32.00,AED 45.00,,Abu Dhabi to Sharjah,September,September 
3115,4/9/2020,Shop029,Abu Dhabi,Dubai,AlMarmoom,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Abu Dhabi to Dubai,September,September 
3104,4/9/2020,Shop015,Dubai,Al Ain,Al salamat,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Dubai to Al Ain,September,September 
3118,4/9/2020,Shop027,Abu Dhabi,Dubai,Rashidiya,DeliveryCompany02,Delivered,,AED 30.00,AED 50.00,,Abu Dhabi to Dubai,September,September 
3113,4/9/2020,Shop039,Abu Dhabi,Al Ain,Aain Amll,DeliveryCompany02,Delivered,,AED 30.00,AED 50.00,,Abu Dhabi to Al Ain,September,September 
3120,5/9/2020,Shop017,Dubai,Ras Al Khaimah,,DeliveryCompany02,Delivered,AED 365.00,AED 30.00,AED 45.00,,Dubai to Ras Al Khaimah,September,September 
3128,5/9/2020,Shop005,Sharjah,Abu Dhabi,Old Al Bahia,DeliveryCompany01,Delivered,,AED 32.00,AED 45.00,,Sharjah to Abu Dhabi,September,September 
3131,5/9/2020,Shop015,Dubai,Al Ain,Zakher,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Dubai to Al Ain,September,September 
3121,5/9/2020,Shop040,Abu Dhabi,Ajman,Muhsairf,DeliveryCompany02,Delivered,AED 490.00,AED 30.00,AED 50.00,,Abu Dhabi to Ajman,September,September 
3136,5/9/2020,Shop021,Abu Dhabi,Dubai,Al Quoz 4,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Abu Dhabi to Dubai,September,September 
3138,5/9/2020,Shop016,Dubai,Dubai,D3,DeliveryCompany01,Delivered,,AED 32.00,AED 30.00,,Dubai to Dubai,September,September 
3132,5/9/2020,Shop015,Dubai,Ras Al Khaimah,Seih Al Arabi,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Dubai to Ras Al Khaimah,September,September 
3137,5/9/2020,Shop016,Dubai,Dubai,Media City,DeliveryCompany01,Delivered,,AED 32.00,AED 30.00,,Dubai to Dubai,September,September 
3140,5/9/2020,Shop016,Dubai,Dubai,Jumeirah Heights,DeliveryCompany01,Delivered,,AED 32.00,AED 30.00,,Dubai to Dubai,September,September 
3125,5/9/2020,Shop005,Sharjah,Al Ain,AlDhahra,DeliveryCompany01,Delivered,,AED 32.00,AED 45.00,,Sharjah to Al Ain,September,September 
3129,5/9/2020,Shop021,Abu Dhabi,Al Ain,Al Bateen ,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Abu Dhabi to Al Ain,September,September 
3141,5/9/2020,Shop016,Dubai,Dubai,JPD,DeliveryCompany01,Delivered,,AED 32.00,AED 30.00,,Dubai to Dubai,September,September 
3133,5/9/2020,Shop015,Dubai,Fujeirah,Al bedia,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Dubai to Fujeirah,September,September 
3134,5/9/2020,Shop036,Dubai,Dubai,Al Barsha South 2,DeliveryCompany02,Delivered,AED 45.00,AED 30.00,AED 45.00,,Dubai to Dubai,September,September 
3126,5/9/2020,Shop028,Ajman,Abu Dhabi,AlBateen,DeliveryCompany01,Delivered,,AED 32.00,AED 45.00,,Ajman to Abu Dhabi,September,September 
3127,5/9/2020,Shop041,Dubai,Abu Dhabi,MBZ City ,DeliveryCompany02,Delivered,,AED 30.00,AED 50.00,,Dubai to Abu Dhabi,September,September 
3124,5/9/2020,Shop023,Abu Dhabi,Al Ain,Al Hili ,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Abu Dhabi to Al Ain,September,September 
3123,5/9/2020,Shop011,Sharjah,Abu Dhabi,NUY Abu Dhabi,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Sharjah to Abu Dhabi,September,September 
3130,5/9/2020,Shop017,Dubai,Al Ain,,DeliveryCompany02,Delivered,AED 255.00,AED 30.00,AED 45.00,,Dubai to Al Ain,September,September 
3122,5/9/2020,Shop042,Abu Dhabi,Al Ain,Al Basrah,DeliveryCompany01,Delivered,,AED 32.00,AED 45.00,,Abu Dhabi to Al Ain,September,September 
3139,5/9/2020,Shop016,Dubai,Dubai,South Ridge,DeliveryCompany01,Delivered,,AED 32.00,AED 30.00,,Dubai to Dubai,September,September 
3135,5/9/2020,Shop028,Ajman,Dubai,Al Barsha 2,DeliveryCompany01,Delivered,,AED 32.00,AED 45.00,,Ajman to Dubai,September,September 
3149,6/9/2020,Shop017,Dubai,Fujeirah,Villa 7,DeliveryCompany01,Delivered,AED 95.00,AED 32.00,AED 45.00,,Dubai to Fujeirah,September,September 
3159,6/9/2020,Shop035,Sharjah,Dubai,,DeliveryCompany03,Delivered,,AED 40.00,AED 45.00,,Sharjah to Dubai,September,September 
3145,6/9/2020,Shop002,Dubai,Fujeirah,Hamad bin abdulla road,DeliveryCompany01,Delivered,,AED 32.00,AED 50.00,,Dubai to Fujeirah,September,September 
3152,6/9/2020,Shop028,Ajman,Abu Dhabi,Al bateen,DeliveryCompany04,Delivered,,AED 35.00,AED 45.00,,Ajman to Abu Dhabi,September,September 
3147,6/9/2020,Shop035,Sharjah,Ras Al Khaimah,Al Dhait,DeliveryCompany02,Delivered,,AED 30.00,AED 50.00,,Sharjah to Ras Al Khaimah,September,September 
3150,6/9/2020,Shop005,Sharjah,Fujeirah,MBZ City ,DeliveryCompany02,Delivered,,AED 30.00,AED 45.00,,Sharjah to Fujeirah,September,September 
3156,6/9/2020,Shop025,Sharjah,Abu Dhabi,291,DeliveryCompany01,Cancelled/Returned,,AED 0.00,AED 0.00,,Sharjah to Abu Dhabi,September,September 
3154,6/9/2020,Shop025,Sharjah,Sharjah,Seyoh,DeliveryCompany04,Delivered,,AED 35.00,AED 45.00,,Sharjah to Sharjah,September,September 
